,NomeParlamentar,Partido,datEmissao,ValorLiquido,TipoDespesa
508,Rose Modesto,PSDB,01/02/19,"965,0",LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES
509,Beto Pereira,PSDB,01/02/19,"2660,0",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
510,Rose Modesto,PSDB,01/02/19,"7941,98",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
511,Beto Pereira,PSDB,01/02/19,"619,05",PASSAGEM AÉREA - REEMBOLSO
512,Rose Modesto,PSDB,01/02/19,"5066,07",PASSAGEM AÉREA - REEMBOLSO
513,Beto Pereira,PSDB,01/02/19,"14878,25",PASSAGEM AÉREA - RPA
514,Bia Cavassa,PSDB,01/02/19,"5097,39",PASSAGEM AÉREA - RPA
515,Beto Pereira,PSDB,01/02/19,"811,0",SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.
516,Beto Pereira,PSDB,01/02/19,"7,7",SERVIÇOS POSTAIS
517,Rose Modesto,PSDB,01/02/19,"35,46",SERVIÇOS POSTAIS
518,Beto Pereira,PSDB,01/02/20,"4390,34",COMBUSTÍVEIS E LUBRIFICANTES.
519,Bia Cavassa,PSDB,01/02/20,"2485,02",COMBUSTÍVEIS E LUBRIFICANTES.
520,Rose Modesto,PSDB,01/02/20,"960,4200000000001",COMBUSTÍVEIS E LUBRIFICANTES.
521,Beto Pereira,PSDB,01/02/20,"11500,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
522,Bia Cavassa,PSDB,01/02/20,"13100,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
523,Rose Modesto,PSDB,01/02/20,"5000,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
524,Beto Pereira,PSDB,01/02/20,"57,48",FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR
525,Rose Modesto,PSDB,01/02/20,"25000,0",LOCAÇÃO OU FRETAMENTO DE VEÍCULOS AUTOMOTORES
526,Beto Pereira,PSDB,01/02/20,"3782,3900000000003",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
527,Bia Cavassa,PSDB,01/02/20,"648,71",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
528,Rose Modesto,PSDB,01/02/20,"6225,1",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
529,Rose Modesto,PSDB,01/02/20,"3892,87",PASSAGEM AÉREA - REEMBOLSO
530,Beto Pereira,PSDB,01/02/20,"2760,4399999999996",PASSAGEM AÉREA - RPA
531,Bia Cavassa,PSDB,01/02/20,"2859,0299999999997",PASSAGEM AÉREA - RPA
532,Beto Pereira,PSDB,01/02/20,"-3214,17",PASSAGEM AÉREA - SIGEPA
533,Beto Pereira,PSDB,01/02/20,"279,0",SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.
534,Beto Pereira,PSDB,01/02/20,"44,69",SERVIÇOS POSTAIS
535,Bia Cavassa,PSDB,01/02/20,"14,35",SERVIÇOS POSTAIS
536,Bia Cavassa,PSDB,01/02/20,"113,87",TELEFONIA
